season,match_name,home_team,away_team,bowling_team,venue,fullName,overs,maidens,conceded,wickets,economyRate,dots,foursConceded,sixesConceded,wides,noballs
2023,GT v CSK,GT,CSK,GT,"Narendra Modi Stadium, Motera, Ahmedabad",Mohammed Shami,4,0,29,2,7.25,13,2,2,0,1
2023,GT v CSK,GT,CSK,GT,"Narendra Modi Stadium, Motera, Ahmedabad",Hardik Pandya,3,0,28,0,9.33,6,2,2,0,0
2023,GT v CSK,GT,CSK,GT,"Narendra Modi Stadium, Motera, Ahmedabad",Josh Little,4,0,41,1,10.25,10,4,3,0,0
2023,GT v CSK,GT,CSK,GT,"Narendra Modi Stadium, Motera, Ahmedabad",Rashid Khan,4,0,26,2,6.5,10,2,1,0,0
2023,GT v CSK,GT,CSK,GT,"Narendra Modi Stadium, Motera, Ahmedabad",Alzarri Joseph,4,0,33,2,8.25,8,0,3,0,0
2023,GT v CSK,GT,CSK,GT,"Narendra Modi Stadium, Motera, Ahmedabad",Yash Dayal,1,0,14,0,14,2,0,2,0,0
2023,GT v CSK,GT,CSK,CSK,"Narendra Modi Stadium, Motera, Ahmedabad",Deepak Chahar,4,0,29,0,7.25,9,1,2,0,0
2023,GT v CSK,GT,CSK,CSK,"Narendra Modi Stadium, Motera, Ahmedabad",Tushar Deshpande,3.2,0,51,1,15.3,5,4,4,1,1
2023,GT v CSK,GT,CSK,CSK,"Narendra Modi Stadium, Motera, Ahmedabad",Rajvardhan Hangargekar,4,0,36,3,9,10,4,1,3,1
2023,GT v CSK,GT,CSK,CSK,"Narendra Modi Stadium, Motera, Ahmedabad",Mitchell Santner,4,0,32,0,8,7,5,0,0,0
2023,GT v CSK,GT,CSK,CSK,"Narendra Modi Stadium, Motera, Ahmedabad",Ravindra Jadeja,4,0,28,1,7,9,1,1,0,0
2023,PBKS v KKR,PBKS,KKR,KKR,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Umesh Yadav,4,0,27,1,6.75,11,2,1,0,0
2023,PBKS v KKR,PBKS,KKR,KKR,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Tim Southee,4,0,54,2,13.5,7,6,3,0,0
2023,PBKS v KKR,PBKS,KKR,KKR,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Sunil Narine,4,0,40,1,10,8,3,2,1,0
2023,PBKS v KKR,PBKS,KKR,KKR,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Varun Chakravarthy,4,0,26,1,6.5,10,2,1,1,0
2023,PBKS v KKR,PBKS,KKR,KKR,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Shardul Thakur,4,0,43,0,10.75,7,4,2,0,1
2023,PBKS v KKR,PBKS,KKR,PBKS,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Sam Curran,3,0,38,1,12.66,4,3,3,0,0
