Match_ID,home_key_batsman,home_key_bowler,away_key_batsman,away_key_bowler
1422119,"Rachin Ravindra,Shivam Dube","Mustafizur Rahman,Deepak Chahar","Anuj Rawat,Dinesh Karthik","Cameron Green,Karn Sharma"
1422120,"Sam Curran,Liam Livingstone","Arshdeep Singh,Harshal Patel","Shai Hope,Abishek Porel","Kuldeep Yadav,Khaleel Ahmed"
1422121,"Andre Russell,Phil Salt","Harshit Rana,Andre Russell","Heinrich Klaasen,Mayank Agarwal","T Natarajan,Mayank Markande"
1422122,"Sanju Samson,Riyan Parag","Trent Boult,Sandeep Sharma","Nicholas Pooran,KL Rahul","Naveen-ul-Haq,Ravi Bishnoi"
1422123,"Sai Sudharsan,Shubman Gill","Azmatullah Omarzai,Spencer Johnson","Dewald Brevis,Rohit Sharma","Jasprit Bumrah,Gerald Coetzee"
1422124,"Virat Kohli,Dinesh Karthik","Mohammed Siraj,Glenn Maxwell","Shikhar Dhawan,Jitesh Sharma","Harpreet Brar,Kagiso Rabada"
1422125,"Shivam Dube,Ruturaj Gaikwad","Tushar Deshpande,Deepak Chahar","Sai Sudharsan,Wriddhiman Saha","Rashid Khan,Sai Kishore"
1422126,"Heinrich Klaasen,Abhishek Sharma","Pat Cummins,Jaydev Unadkat","Tilak Varma,Tim David","Hardik Pandya,Piyush Chawla"
1422127,"Riyan Parag,Ravichandran Ashwin","Yuzvendra Chahal,Nandre Burger","David Warner,Tristan Stubbs","Axar Patel,Khaleel Ahmed"
1422128,"Virat Kohli,Cameron Green","Vijaykumar Vyshak,Mayank Dagar","Venkatesh Iyer,Sunil Narine","Andre Russell,Harshit Rana"
1422129,"Quinton de Kock,Krunal Pandya","Mayank Yadav,Mohsin Khan","Shikhar Dhawan,Jonny Bairstow","Sam Curran,Arshdeep Singh"
1422130,"Sai Sudharsan,David Miller","Mohit Sharma,Azmatullah Omarzai","Abdul Samad,Abhishek Sharma","Pat Cummins,Shahbaz Ahmed"
1422131,"David Warner,Rishabh Pant","Mukesh Kumar,Khaleel Ahmed","Ajinkya Rahane,MS Dhoni","Matheesha Pathirana,Ravindra Jadeja"
1422132,"Hardik Pandya,Tilak Varma","Akash Madhwal,Kwena Maphaka","Riyan Parag,Ravichandran Ashwin","Yuzvendra Chahal,Trent Boult"
